customer_id,date,age,income,occupation,credit_score,credit_transaction,debit_transaction,balance,investment_return_percent,feedback_note
1,1/1/2025,56,17795,Teacher,624.41,231.89,142.43,1055.46,-4.14,I plan to increase my savings next month.
1,2/1/2025,56,17795,Teacher,624.41,111.48,117.02,1049.92,-1.91,I need to reduce unnecessary spending.
1,3/1/2025,56,17795,Teacher,624.41,216.42,168.65,1097.69,1.09,Thinking about diversifying my investments.
1,4/1/2025,56,17795,Teacher,624.41,346.24,273.1,1170.83,-11.7,I’m happy with my current investment returns.
1,5/1/2025,56,17795,Teacher,624.41,260.34,129.92,1301.25,-0.32,Looking for a better credit card option.
1,6/1/2025,56,17795,Teacher,624.41,52.37,268.96,1084.66,0.38,Thinking about diversifying my investments.
1,7/1/2025,56,17795,Teacher,624.41,235.56,183.36,1136.86,4.66,Planning to invest more aggressively.
1,8/1/2025,56,17795,Teacher,624.41,170.66,147.61,1159.91,0.98,I’m happy with my current investment returns.
1,9/1/2025,56,17795,Teacher,624.41,266.47,138.78,1287.6,0.33,I should track my expenses more closely.
1,10/1/2025,56,17795,Teacher,624.41,125.09,87.73,1324.96,5.24,I’m happy with my current investment returns.
1,11/1/2025,56,17795,Teacher,624.41,,120.55,1204.41,2.38,Looking for a better credit card option.
1,12/1/2025,56,17795,Teacher,624.41,80.68,117.28,1167.81,-1.73,I need to reduce unnecessary spending.
1,13/1/2025,56,17795,Teacher,624.41,352.42,175.84,1344.39,-6.47,I should track my expenses more closely.
1,14/1/2025,56,17795,Teacher,624.41,17.83,66.49,1295.73,1.36,I want to improve my credit score.
1,15/1/2025,56,17795,Teacher,624.41,232.42,209.67,1318.48,-8.68,I’m considering switching banks.
1,16/1/2025,56,17795,Teacher,624.41,256.45,152.04,1422.89,2.87,I need to reduce unnecessary spending.
1,17/1/2025,56,17795,Teacher,624.41,265.92,337.26,1351.55,5.85,Planning to invest more aggressively.
1,18/1/2025,56,17795,Teacher,624.41,209.64,183.53,1377.66,-4.27,I’m considering switching banks.
1,19/1/2025,56,17795,Teacher,624.41,95.21,0.05,1472.82,-6.33,Planning to invest more aggressively.
1,20/1/2025,56,17795,Teacher,624.41,263.63,77.46,1658.99,2.88,Looking for a better credit card option.
1,21/1/2025,56,17795,Teacher,624.41,330.37,ERR,1989.36,3.49,I should track my expenses more closely.
1,22/1/2025,56,17795,Teacher,624.41,110.37,141.04,1958.69,7.84,I want to improve my credit score.
1,23/1/2025,56,17795,Teacher,624.41,87.61,226,1820.3,9.13,I’m considering switching banks.
1,24/1/2025,56,17795,Teacher,624.41,245.79,15.26,2050.83,2.13,I’m happy with my current investment returns.
1,25/1/2025,56,17795,Teacher,624.41,191.89,187.42,2055.3,4.18,Thinking about diversifying my investments.
1,26/1/2025,56,17795,Teacher,624.41,122.03,ERR,2177.33,-0.25,Looking for a better credit card option.
1,27/1/2025,56,17795,Teacher,624.41,103.44,162.04,2118.73,-0.07,
1,28/1/2025,56,17795,Teacher,624.41,463.35,67.99,2514.09,-3.41,Looking for a better credit card option.
1,29/1/2025,56,17795,Teacher,624.41,242.39,219.82,2536.66,11.94,I want to improve my credit score.
1,30/1/2025,56,17795,Teacher,624.41,362.29,215.9,2683.05,1.97,Planning to invest more aggressively.
2,1/1/2025,23,15931,Entrepreneur,724.83,296.26,133.22,4290.04,-3.37,I plan to increase my savings next month.
2,2/1/2025,23,15931,Entrepreneur,724.83,164.02,207.93,4246.13,-0.78,I want to improve my credit score.
2,3/1/2025,23,15931,Entrepreneur,724.83,284.99,45.09,4486.03,-3.85,I’m considering switching banks.
2,4/1/2025,23,15931,Entrepreneur,724.83,149.34,45.2,4590.17,15.22,I plan to increase my savings next month.
2,5/1/2025,23,15931,Entrepreneur,724.83,90.37,223.19,4457.35,-2.83,Hope to save more this month.
2,6/1/2025,23,15931,Entrepreneur,724.83,148.62,174.11,4431.86,-6.79,I’m considering switching banks.
2,7/1/2025,23,15931,Entrepreneur,724.83,133.73,138.28,4427.31,-3.73,Planning to invest more aggressively.
2,8/1/2025,23,15931,Entrepreneur,724.83,117.75,236.94,4308.12,5.52,I need to reduce unnecessary spending.
2,9/1/2025,23,15931,Entrepreneur,724.83,155.82,143.27,4320.67,6.69,I plan to increase my savings next month.
2,10/1/2025,23,15931,Entrepreneur,724.83,57.35,177.04,4200.98,10.37,Looking for a better credit card option.
2,11/1/2025,23,15931,Entrepreneur,724.83,396.5,5.19,4592.29,-3.31,Thinking about diversifying my investments.
2,12/1/2025,23,15931,Entrepreneur,724.83,216.87,44.25,4764.91,-2.84,Hope to save more this month.
2,13/1/2025,23,15931,Entrepreneur,724.83,186.27,262.11,4689.07,0.27,Hope to save more this month.
2,14/1/2025,23,15931,Entrepreneur,724.83,221.69,190.99,4719.77,3.22,I want to improve my credit score.
2,15/1/2025,23,15931,Entrepreneur,724.83,202.81,54.23,4868.35,4.45,Planning to invest more aggressively.
2,16/1/2025,23,15931,Entrepreneur,724.83,243.15,62.26,5049.24,-2.91,I want to improve my credit score.
2,17/1/2025,23,15931,Entrepreneur,724.83,288.75,198.44,5139.55,-3.1,I should track my expenses more closely.
2,18/1/2025,23,15931,Entrepreneur,724.83,173.01,138.52,5174.04,3.59,Looking for a better credit card option.
2,19/1/2025,23,15931,Entrepreneur,724.83,324.89,155.25,5343.68,6.35,Hope to save more this month.
2,20/1/2025,23,15931,Entrepreneur,724.83,287.33,166.45,5464.56,-6.72,Looking for a better credit card option.
2,21/1/2025,23,15931,Entrepreneur,724.83,97.23,209.3,5352.49,-8.05,Thinking about diversifying my investments.
2,22/1/2025,23,15931,Entrepreneur,724.83,211.9,230.04,5334.35,1.26,Thinking about diversifying my investments.
2,23/1/2025,23,15931,Entrepreneur,724.83,139.86,82.27,5391.94,4.58,I need to reduce unnecessary spending.
2,24/1/2025,23,15931,Entrepreneur,724.83,247.17,127.16,5511.95,5.83,I should track my expenses more closely.
2,25/1/2025,23,15931,Entrepreneur,724.83,285.4,293.09,5504.26,3.33,Looking for a better credit card option.
2,26/1/2025,23,15931,Entrepreneur,724.83,183.55,138.56,5549.25,-9.17,Looking for a better credit card option.
2,27/1/2025,23,15931,Entrepreneur,724.83,215.07,148.74,5615.58,-6.15,I should track my expenses more closely.
